"meas" "method" "breakpoint" "breakpoint.se" "m1" "m1.se" "m2" "m2.se" "intercept" "intercept.se"
"66" 254 "grid" 0.930064010270671 0.0160609082714746 0.9338 0.01674 0.1791 0.1668 0.0621358374076269 0.0119674895427589
"67" 270 "xyz" 0.961136890152254 0.0177565364164894 0.9256 0.01827 0.1999 0.1594 0.0437302955612926 0.0135759413941051
"68" 270 "rand" 0.809925226340878 0.0264424038723006 0.9567 0.02868 0.4997 0.07236 0.0607858340524149 0.0179531621674842
"69" 270 "grid" 0.883474042221188 0.033979722345508 0.9122 0.02069 0.5641 0.1271 0.0789785643323779 0.0142097707416371
"70" 287 "xyz" 0.944384198113581 0.0200007131061938 0.9268 0.01767 0.2891 0.1614 0.0503006088150135 0.0127451762748441
"71" 287 "rand" 0.881598338471178 0.0192393531915939 0.9609 0.02021 0.3379 0.09432 0.0476764410840378 0.0137326688648531
"72" 287 "grid" 0.915017678815424 0.0147273736822236 0.9954 0.01845 0.1618 0.1486 0.0214489126512901 0.0129390580619084
"73" 304 "xyz" 0.963252361626829 0.0146293783444241 0.9251 0.01489 0.1698 0.1687 0.0472091095457685 0.0109629486441135
"74" 304 "rand" 0.835502341672763 0.0240877670134758 0.9717 0.02435 0.5102 0.07525 0.0437426438354374 0.0155840366996866
"75" 304 "grid" 0.901455885178273 0.0222823455231803 0.9557 0.01729 0.4478 0.1301 0.0462959644774452 0.0120013567338939
"76" 321 "xyz" 0.892599601103253 0.016676688423842 0.9978 0.01841 0.4386 0.07671 0.00473642503128142 0.0127877222680143
"77" 321 "rand" 0.845945409255689 0.017422075452817 0.9932 0.02227 0.4179 0.0675 0.0366173506604483 0.0145105848488571
"78" 321 "grid" 0.909875920589201 0.0160694960780895 0.9701 0.01664 0.3478 0.117 0.0397618073097757 0.0116828977230384
"79" 339 "xyz" 0.917461136355687 0.0174181706434571 0.9612 0.01658 0.3962 0.1098 0.0299430022277977 0.0117259349798469
"80" 339 "rand" 0.862789420684388 0.0227421772423222 0.9665 0.02113 0.5014 0.07653 0.0390260100757926 0.0141198073966088
"81" 339 "grid" 0.907271278986175 0.0184318687400357 0.9541 0.01665 0.3575 0.115 0.046015434341402 0.0117199597785895
"82" 358 "xyz" 0.958415919735541 0.0196052506317923 0.8894 0.01357 0.3368 0.1769 0.0803282313880719 0.00990437308833846
"83" 358 "rand" 0.915691060245861 0.0158066883012549 0.9765 0.01858 0.2562 0.1173 0.0316424946419331 0.0130584484911085
"84" 358 "grid" 0.933253505714789 0.014469290495018 0.9719 0.01618 0.2083 0.1491 0.0335663992185316 0.0115476467721679
"85" 377 "xyz" 0.958785848023403 0.0151965602805561 0.9779 0.01541 0.2233 0.1673 0.00988695950530856 0.0112238281730488
"86" 377 "rand" 0.875191171233641 0.024833669436514 0.9656 0.01964 0.516 0.08893 0.0361596737223264 0.0133333262433149
"87" 377 "grid" 0.958666404999872 0.0166476365926526 0.9359 0.0143 0.1628 0.2047 0.0588752488854848 0.0102989528628099
"88" 397 "xyz" 0.851291600976799 0.0273413482054962 0.9996 0.01841 0.6667 0.07031 0.00486660570353026 0.0119743225950238
"89" 397 "rand" 0.860468885479224 0.0197221611937946 1.019 0.02039 0.4975 0.08421 0.000504283742812952 0.013527776287352
"90" 397 "grid" 0.952831867599755 0.0133823919292241 0.9841 0.01408 0.01804 0.2217 0.0239185499159975 0.0101889430119701
"91" 417 "xyz" 0.937870199593439 0.0186981498499794 0.9352 0.01588 0.3602 0.1367 0.0472457757264097 0.0114888219360228
"92" 417 "rand" 0.884347731831441 0.018845833092576 0.967 0.01949 0.4069 0.1007 0.0417051109134053 0.0134490138871246
